brand,model,condition,transmission,body_type,fuel_type,price,mileage_km,engine_cc,age,district,has_trim
20,Wagon R,3,0,2,4,6799000,55000,660,8,4,1
22,Premio,3,0,5,4,10740000,200000,1500,13,0,0
8,Range Rover,3,0,4,2,74900000,37000,2000,8,4,1
2,Glory,3,3,4,4,7990000,51000,1500,5,4,1
8,Defender,2,0,4,4,64800000,12900,2000,3,4,1
9,LX600,0,0,4,4,135000000,0,3000,2,4,0
12,C200,0,0,5,2,48900000,0,1500,1,4,1
1,318i,2,0,5,4,24780000,24000,1500,7,4,1
22,Yaris,1,0,5,4,9300000,28000,1000,2,6,1
23,Tiguan,3,0,4,4,16000000,78000,1399,8,4,1
22,Crown,0,0,4,2,58500000,0,2500,1,4,1
5,Vezel,3,0,4,4,8990000,111000,1500,12,6,1
22,Land Cruiser Prado,0,0,4,4,59000000,1000,2700,2,6,1
22,Avanza,3,1,3,4,5775000,143000,1300,18,4,1
17,Axia,3,0,2,4,6400000,47600,1000,9,9,1
12,CLA 180,2,0,5,2,34900000,8322,1300,2,4,1
5,Vezel,0,0,2,2,20250000,0,1500,1,4,1
12,Other Model,2,0,5,2,28990000,11000,1330,4,4,1
8,Range Rover Evoque,0,0,4,2,56000000,0,1500,0,4,1
1,520d,3,0,6,0,17850000,85000,2000,14,4,1
12,C200,3,0,5,4,24500000,60000,1500,8,4,1
1,X1,3,3,4,4,15750000,101000,1500,8,4,0
0,A3,2,0,5,4,15590000,10000,1000,3,4,1
22,Hilux,2,0,4,0,24200000,5000,3000,3,6,1
10,MG4 X,0,0,2,1,13500000,0,0,2,4,0
22,Corolla,3,0,5,4,6850000,216000,1600,18,4,1
0,Q3,3,0,4,4,14000000,100000,1600,10,4,0
22,Raize,0,0,2,2,13800000,0,1200,1,4,1
22,Axio,3,0,5,2,9950000,150000,1500,11,9,1
15,AD Wagon,3,0,6,4,5500000,138000,1300,16,6,0
22,Yaris Ativ,0,3,5,4,16200000,0,1200,1,4,1
8,Range Rover Evoque,0,0,4,2,56000000,0,1500,0,4,1
9,LS500h,3,0,5,2,99500000,9000,3500,3,4,1
9,RX350,3,0,4,4,7250000,130000,3000,23,4,0
8,Range Rover Evoque,0,0,4,2,52000000,0,1500,0,4,1
22,Yaris,0,0,4,2,17350000,0,1500,1,6,1
22,Raize,0,0,4,2,13875000,6,1200,1,4,1
20,Swift,3,0,2,4,8675000,94000,1000,8,4,1
22,Hilux,2,0,4,0,24500000,13000,2755,3,6,1
22,Hilux,0,0,4,0,30800000,0,2800,1,4,1
16,D-Max,0,0,4,0,23000000,0,3000,1,6,1
10,ZS,2,0,4,2,18400000,0,1500,1,4,1
8,Range Rover Evoque,0,0,4,2,52000000,0,1500,0,4,1
3,Terios,3,0,4,4,7650000,130000,1500,15,4,1
5,Vezel,3,0,2,2,8650000,181000,1500,12,0,0
11,CX-5,3,0,4,4,11150000,174000,2000,13,4,1
5,Vezel,0,0,4,2,18750000,0,1500,1,4,1
7,Carens,3,1,4,0,20000000,6440,1500,1,4,0
5,Vezel,2,0,4,2,19250000,5000,1500,2,4,1
12,GLB,2,0,6,4,33990000,15000,1330,4,4,1
18,5008,3,0,4,4,14500000,78000,1200,8,4,1
1,523i,2,0,5,4,56350000,12000,2000,3,4,1
22,Vitz,3,0,2,4,7590000,105000,1000,9,4,1
5,Vezel,3,0,4,2,9195000,134190,1500,12,4,1
12,C200,2,0,5,4,37900000,26000,1500,3,4,1
13,Panda,3,1,2,4,3450000,34600,1000,9,4,1
20,Wagon R FZ,3,0,2,4,6650000,113000,650,8,4,0
20,Swift,3,0,2,2,8025000,58000,1200,9,4,1
20,Swift,0,0,2,2,13550000,10,1200,2,4,1
16,Model Y,0,0,6,1,29890000,0,0,2,4,1
20,Swift,3,0,2,4,5850000,128000,1300,16,4,1
1,520d,3,0,5,0,17850000,140000,2000,14,4,1
15,March,3,0,2,4,3650000,121165,1000,25,4,0
5,Vezel,3,0,4,2,8875000,146000,1400,12,4,0
5,Vezel,1,0,4,2,18800000,0,1500,1,6,1
20,Wagon R FX,2,0,2,4,6975000,6000,660,2,5,1
8,Range Rover PHEV,3,0,6,2,55990000,22000,1997,8,4,1
15,X-Trail,3,0,4,2,9190000,109000,2000,11,4,1
